Id_Ciente;Nome;Conta N�;D�gito;Ag�ncia; Saldo ; Limite ;Id do Cart�o;N�mero do Cart�o; Limite do Cart�o ;News
1;Devweekerson;1097954;4;2030;R$ 624;R$ 1.000,00;1;**** **** **** 1111;R$ 2.000;[{'id': 1, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'O Santander tem soluções de crédito sob medida pra você. Confira!'}, {'id': 2, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/insurance.svg', 'description': 'Santander Seguro Casa, seu faz-tudo. Mais de 50 serviços pra você. Confira!'}]
20;anguile;10;8;2003;R$ 500;R$ 1.000,00;13;**** **** **** 0112;R$ 500;[{'id': 24, 'icon': 'string', 'description': 'string'}, {'id': 122, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/insurance.svg', 'description': 'Invista seu dinheiro com sabedoria e garanta um futuro promissor.'}, {'id': 250, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 251, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 971, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'anguile, ainda assim, existem dúvidas a respeito de como o desafiador cenário globalizado talvez venha a ressaltar a relatividade dos conhecimentos estratégicos para atingir a excelência. '}, {'id': 1592, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'anguile, invista agora no seu amanhã.'}, {'id': 1593, 'icon': 'money-mouth-face.svg', 'description': 'anguile, segurança financeira via investimentos.'}, {'id': 1594, 'icon': 'money-mouth-face.svg', 'description': 'anguile, planeje hoje, invista para sempre.'}, {'id': 1595, 'icon': 'money-mouth-face.svg', 'description': 'anguile, investimentos: seu passaporte para o sucesso.'}, {'id': 1596, 'icon': 'money-mouth-face.svg', 'description': 'anguile, sonhe grande, invista maior.'}, {'id': 2012, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista para prosperar. Torne o seu futuro financeiro sólido e seguro com investimentos inteligentes.'}, {'id': 2023, 'icon': 'None', 'description': '1. Corte o fio vermelho. \n2. Remova a bateria. \n3. Desconecte a antena. \n4. Desarme o detonador.'}]
21;Maria;110;2;2003;R$ 500;R$ 1.000,00;14;**** **** **** 0322;R$ 500;[{'id': 25, 'icon': 'string', 'description': 'string'}, {'id': 252, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 253, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 972, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Maria, todavia, o novo modelo estrutural aqui preconizado agrega valor ao estabelecimento do levantamento das variáveis envolvidas. '}, {'id': 1597, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Maria, planeje hoje, invista para sempre.'}, {'id': 1598, 'icon': 'money-mouth-face.svg', 'description': 'Maria, investir hoje, colher amanhã.'}, {'id': 1599, 'icon': 'money-mouth-face.svg', 'description': 'Maria, segurança financeira via investimentos.'}, {'id': 1600, 'icon': 'money-mouth-face.svg', 'description': 'Maria, invista agora no seu amanhã.'}, {'id': 1601, 'icon': 'money-mouth-face.svg', 'description': 'Maria, investimentos: seu passaporte para o sucesso.'}, {'id': 1891, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Obrigado, Maria, por investir conosco! 💙'}, {'id': 2019, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Dê asas às suas futuras conquistas com investimentos estratégicos. #SeuFuturoFinanceiro'}, {'id': 2025, 'icon': 'None', 'description': '1. Remoção do detonador com pinça. \n2. Neutralização do explosivo com água. \n3. Corte do fio de ativação com tesoura. \n4. Desativação controlada com robô especializado. \n5. Uso de explosivo contra explosivo (contra-carga).'}]
22;Pyterson;1;1;1;R$ 0;R$ 500,00;15;**** **** **** 1111;R$ 1.000;[{'id': 51, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista hoje, colha amanhã! #FuturoBrilhante'}, {'id': 132, 'icon': '🤑', 'description': None}, {'id': 140, 'icon': '🤑', 'description': None}, {'id': 148, 'icon': '🤑', 'description': 'Pyterson, O futuro é hoje: invista para colher amanhã.'}, {'id': 156, 'icon': '🤑', 'description': 'Pyterson, Invista hoje, desfrute no futuro.'}, {'id': 254, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 255, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 973, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pyterson, a certificação de metodologias que nos auxiliam a lidar com a consulta aos diversos militantes representa uma abertura para a melhoria dos métodos utilizados na avaliação de resultados. '}, {'id': 1602, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pyterson, seu futuro depende dos investimentos.'}, {'id': 1603, 'icon': 'money-mouth-face.svg', 'description': 'Pyterson, construa riqueza com investimentos.'}, {'id': 1604, 'icon': 'money-mouth-face.svg', 'description': 'Pyterson, investir é cuidar do seu futuro.'}, {'id': 1605, 'icon': 'money-mouth-face.svg', 'description': 'Pyterson, seu futuro depende dos investimentos.'}, {'id': 1606, 'icon': 'money-mouth-face.svg', 'description': 'Pyterson, faça seu dinheiro trabalhar por você.'}, {'id': 1885, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista em seu futuro com sabedoria!'}, {'id': 1886, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista hoje para um futuro seguro. #PlanejeSeuFuturo'}, {'id': 1887, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Obrigado, Pyterson, por escolher o Banco Santander para investir!'}, {'id': 1892, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Obrigado, Pyterson, pelo investimento no Santander! 🙏'}, {'id': 2020, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista agora e construa seu futuro!'}, {'id': 2021, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista hoje, colha amanhã!'}]
24;Pep;3;3;1;R$ 0;R$ 500,00;17;**** **** **** 3333;R$ 1.000;[{'id': 258, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 259, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 975, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pep, percebemos, cada vez mais, que o entendimento das metas propostas pode nos levar a considerar a reestruturação do sistema de participação geral. '}, {'id': 1612, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pep, investimentos: seu passaporte para o sucesso.'}, {'id': 1613, 'icon': 'money-mouth-face.svg', 'description': 'Pep, construa riqueza com investimentos.'}, {'id': 1614, 'icon': 'money-mouth-face.svg', 'description': 'Pep, faça seu dinheiro trabalhar por você.'}, {'id': 1615, 'icon': 'money-mouth-face.svg', 'description': 'Pep, investir é cuidar do seu futuro.'}, {'id': 1616, 'icon': 'money-mouth-face.svg', 'description': 'Pep, planeje hoje, invista para sempre.'}, {'id': 1888, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista e garanta seu futuro financeiro! 💰'}, {'id': 1889, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista já e assegure seu futuro! #PepInvestimentos'}, {'id': 1890, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Obrigado, Pep! Seu investimento foi essencial para o sucesso do Banco Santander!'}, {'id': 1893, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Obrigado, Pep! Seu investimento é valioso para nós. #Santander'}]
25;Rides;9;9;1;R$ 0;R$ 0,00;18;N�o Possui Cart�o;R$ 0;[{'id': 32, 'icon': 'string', 'description': 'string'}, {'id': 260, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 261, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 976, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Rides, por conseguinte, o desenvolvimento contínuo de distintas formas de atuação obstaculiza a apreciação da importância das novas proposições. '}, {'id': 1617, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Rides, construa riqueza com investimentos.'}, {'id': 1618, 'icon': 'money-mouth-face.svg', 'description': 'Rides, investir é cuidar do seu futuro.'}, {'id': 1619, 'icon': 'money-mouth-face.svg', 'description': 'Rides, investir é cuidar do seu futuro.'}, {'id': 1620, 'icon': 'money-mouth-face.svg', 'description': 'Rides, sonhe grande, invista maior.'}, {'id': 1621, 'icon': 'money-mouth-face.svg', 'description': 'Rides, construa riqueza com investimentos.'}]
26;Money Trees;8;9;1;R$ 0;R$ 0,00;19;N�o Possui Cart�o;R$ 0;[{'id': 33, 'icon': 'string', 'description': 'string'}, {'id': 262, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 263, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 977, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Money Trees, todas estas questões, devidamente ponderadas, levantam dúvidas sobre se a consulta aos diversos militantes maximiza as possibilidades por conta das diretrizes de desenvolvimento para o futuro. '}]
27;a lot;7;9;1;R$ 0;R$ 0,00;20;N�o Possui Cart�o;R$ 0;[{'id': 34, 'icon': 'string', 'description': 'string'}, {'id': 133, 'icon': '🤑', 'description': None}, {'id': 141, 'icon': '🤑', 'description': None}, {'id': 149, 'icon': '🤑', 'description': 'a lot, Invista hoje, colha frutos financeiros amanhã.'}, {'id': 157, 'icon': '🤑', 'description': 'a lot, Invista no que importa. Colha recompensas duradouras.'}, {'id': 264, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 265, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 978, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'a lot, caros amigos, a consulta aos diversos militantes apresenta tendências no sentido de aprovar a manutenção das condições financeiras e administrativas exigidas. '}]
28;Pyterson;12;1;1;R$ 0;R$ 500,00;21;**** **** **** 3232;R$ 1.000;"[{'id': 266, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 267, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 979, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Pyterson, o que temos que ter sempre em mente é que a contínua expansão de nossa atividade aponta para a melhoria das posturas dos órgãos dirigentes com relação às suas atribuições. '}, {'id': 1660, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Nossa equipe de especialistas está aqui para ajudar a realizar seus objetivos financeiros. Agende uma consulta hoje mesmo!""'}, {'id': 1661, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Acumule pontos a cada transação e aproveite benefícios exclusivos com nosso programa de recompensas.""'}, {'id': 1662, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Faça seu dinheiro trabalhar por você. Descubra nossas opções de investimento hoje mesmo!""'}, {'id': 1663, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Simplifique suas transações internacionais com nossos serviços de câmbio e remessas globais.""'}, {'id': 1664, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Faça seu dinheiro trabalhar por você. Descubra nossas opções de investimento hoje mesmo!""'}, {'id': 1665, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Esteja sempre informado sobre suas finanças. Inscreva-se para receber alertas de saldo e atividade da conta em tempo real.""'}, {'id': 1666, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""proteja o que é importante. Explore nossas opções de seguros para garantir um futuro seguro para você e sua família.""'}, {'id': 1667, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'sabia que controle financeiro ao alcance das suas mãos. Baixe nosso app e gerencie suas finanças com facilidade.'}, {'id': 1668, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'acumule pontos a cada transação e aproveite benefícios exclusivos com nosso programa de recompensas.'}, {'id': 1669, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'sabia que controle financeiro ao alcance das suas mãos. Baixe nosso app e gerencie suas finanças com facilidade.'}, {'id': 1704, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'sabia que controle financeiro ao alcance das suas mãos. Baixe nosso app e gerencie suas finanças com facilidade.'}, {'id': 1705, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'acumule pontos a cada transação e aproveite benefícios exclusivos com nosso programa de recompensas.'}, {'id': 1706, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'faça seu dinheiro trabalhar por você. Descubra nossas opções de investimento hoje mesmo!'}, {'id': 1707, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'simplifique suas transações internacionais com nossos serviços de câmbio e remessas globais.'}, {'id': 1708, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'proteja o que é importante. Explore nossas opções de seguros para garantir um futuro seguro para você e sua família.'}]"
30;Caroline;14;1;1;R$ 0;R$ 700,00;23;**** **** **** 6677;R$ 2.500;"[{'id': 270, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 271, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 981, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Caroline, nunca é demais lembrar o peso e o significado destes problemas, uma vez que a revolução dos costumes estimula a padronização dos conhecimentos estratégicos para atingir a excelência. '}, {'id': 1498, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Caroline, invista agora e garanta seu futuro financeiro com segurança e tranquilidade. Não deixe o tempo passar! #SantanderInvestimentos'}, {'id': 1643, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Não foi possível gerar uma notícia.'}, {'id': 1670, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Esteja sempre informado sobre suas finanças. Inscreva-se para receber alertas de saldo e atividade da conta em tempo real.""'}, {'id': 1671, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Faça seu dinheiro trabalhar por você. Descubra nossas opções de investimento hoje mesmo!""'}, {'id': 1672, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Procurando por conveniência? Nossos caixas eletrônicos estão disponíveis em todo lugar, a qualquer hora.""'}, {'id': 1673, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Faça seu dinheiro trabalhar por você. Descubra nossas opções de investimento hoje mesmo!""'}, {'id': 1674, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Procurando por conveniência? Nossos caixas eletrônicos estão disponíveis em todo lugar, a qualquer hora.""'}, {'id': 1675, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""Controle financeiro ao alcance das suas mãos. Baixe nosso app e gerencie suas finanças com facilidade.""'}, {'id': 1676, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': '""simplifique suas transações internacionais com nossos serviços de câmbio e remessas globais.""'}, {'id': 1677, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'simplifique suas transações internacionais com nossos serviços de câmbio e remessas globais.'}, {'id': 1678, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'esteja sempre informado sobre suas finanças. Inscreva-se para receber alertas de saldo e atividade da conta em tempo real.'}, {'id': 1679, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'proteja o que é importante. Explore nossas opções de seguros para garantir um futuro seguro para você e sua família.'}, {'id': 1709, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'acumule pontos a cada transação e aproveite benefícios exclusivos com nosso programa de recompensas.'}, {'id': 1710, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'sabia que controle financeiro ao alcance das suas mãos. Baixe nosso app e gerencie suas finanças com facilidade.'}, {'id': 1711, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'sabia que controle financeiro ao alcance das suas mãos. Baixe nosso app e gerencie suas finanças com facilidade.'}, {'id': 1712, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'esteja sempre informado sobre suas finanças. Inscreva-se para receber alertas de saldo e atividade da conta em tempo real.'}, {'id': 1713, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'esteja sempre informado sobre suas finanças. Inscreva-se para receber alertas de saldo e atividade da conta em tempo real.'}]"
